Customer Name,Review Title,Rating,Comment
Ravi,Good quality product,5,"I am happy with the purchase, the product works really well."
Sneha,Not worth the price,2,The product is overpriced compared to its features.
Amit,Excellent performance,5,"Amazing speed and smooth usage, totally loved it."
Priya,Average product,3,"The product is okay, not too good not too bad."
Karan,Highly recommended,5,Excellent product! Definitely recommend to others.
Meena,Poor build quality,1,The material feels cheap and it broke within a week.
Anil,Value for money,4,Good features for the price point.
Deepa,Battery drains fast,2,"Battery life is disappointing, drains within few hours."
Vikram,Very satisfied,5,"Superb experience, exceeded my expectations."
Shreya,Packaging was bad,2,The product was fine but packaging was very poor.
